Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2000-01-03,13.93993854522705,13.93993854522705,13.611940304025506,13.611940304025506,332590
2000-01-04,14.251534461975098,15.042830986399727,14.021936507708894,14.92393271609134,1687100
2000-01-05,13.689839363098145,14.25973659900498,13.529940318666036,13.939938510140765,1598200
2000-01-06,13.800536155700684,13.939935574001444,13.55453791823753,13.775935706346909,850260
2000-01-07,13.804637908935547,14.021938006909235,13.296241043830276,13.296241043830276,851440
2000-01-10,13.603739738464355,14.718935288627707,13.529939940937725,14.177737816111712,1004340
2000-01-11,13.398738861083984,13.76773779949338,12.873940979131238,13.652937260866718,1457840
2000-01-12,13.5668363571167,13.771835394507995,13.308537132078477,13.427436949129877,859520
2000-01-13,13.53813648223877,13.931734254747562,13.52993633314252,13.931734254747562,482760
2000-01-14,13.5668363571167,13.775934687087666,13.4479365400653,13.775934687087666,581520
2000-01-17,14.653329849243164,14.653329849243164,14.108031734657912,14.267930711410484,1374040
2000-01-18,13.587336540222168,14.653332519526794,13.493037166594595,14.653332519526794,2556520
2000-01-19,14.677929878234863,14.677929878234863,14.103933546605314,14.103933546605314,3498180
2000-01-20,14.645135879516602,15.15353276038484,14.431936632565122,15.15353276038484,2690980
2000-01-21,15.428231239318848,15.743930011031754,14.112135953601706,14.431935582775964,4723290
2000-01-24,16.44502067565918,16.662319123701632,15.82592279551128,16.30152043161629,4493660
2000-01-25,17.761119842529297,17.761119842529297,16.317926157937276,16.317926157937276,2902910
2000-01-26,17.761119842529297,17.761119842529297,17.761119842529297,17.761119842529297,0
2000-01-27,18.835311889648438,19.18381120822484,18.142415673307788,18.36791431237569,5635820
2000-01-28,18.687713623046875,19.105910296946682,18.36791405051011,18.85991206947402,4791650
2000-01-31,19.495412826538086,20.184209882765682,18.868116121909665,18.868116121909665,6373800
2000-02-01,19.757810592651367,20.007909718282967,19.269913349612224,19.35191329369094,3907790
2000-02-02,20.007904052734375,21.340397683635985,19.597906012456956,21.33629839140131,3438320
2000-02-03,18.527812957763672,20.49990431601058,18.40891470138493,20.007906299622608,2846870
2000-02-04,18.77381134033203,19.023910404478244,17.83491541769143,18.855811264251546,2657040
2000-02-07,20.22930335998535,20.2785026868695,18.859909843565713,19.269907883643228,3890350
2000-02-08,20.5614070892334,20.81150463772706,19.688110624039485,20.499906743395705,3052080
2000-02-09,20.70490074157715,21.401897713008175,20.180103757920087,20.909899758820487,3172330
2000-02-10,20.643407821655273,21.483905345301192,20.35641034569895,20.49990908367711,2100860
2000-02-11,19.03211784362793,21.237908846776083,18.995219502917198,20.91811071512955,2648230
2000-02-14,19.142810821533203,19.26991079621452,18.05221593264862,19.26991079621452,2525440
2000-02-15,18.663110733032227,19.269907636894793,18.45811171561845,19.187907717125604,1940870
2000-02-16,20.159605026245117,20.159605026245117,18.859911851551868,20.081705953383217,706000
2000-02-17,20.532705307006836,21.131302149137692,20.348205851824417,21.131302149137692,2341600
2000-02-18,19.893110275268555,20.7459056075307,19.59791110901456,20.581907287182,1187770
2000-02-21,19.364213943481445,20.33590919666048,19.27811470064687,19.946412175070098,1104720
2000-02-22,17.839019775390625,19.679912255822323,17.81852017959459,19.35601332458071,1748060
2000-02-23,17.994821548461914,19.261716105394935,17.83492249359002,18.5319197774077,1345080
2000-02-24,18.61391258239746,18.859910793223417,17.670915791521505,18.203914521675213,878920
2000-02-25,18.61391258239746,19.18790892899752,18.203914521675213,18.855811500784327,1265320
2000-02-28,18.659015655517578,18.859915442969687,18.03991911936231,18.847615998601615,857210
2000-02-29,17.777517318725586,19.597908263613924,17.178920486525826,18.69591215859015,2586880
2000-03-01,19.20021629333496,19.20021629333496,17.875920742268008,17.875920742268008,320940
2000-03-02,20.73770523071289,20.73770523071289,20.499905575310326,20.499905575310326,399360
2000-03-03,22.398197174072266,22.398197174072266,22.398197174072266,22.398197174072266,642940
2000-03-06,21.81599998474121,24.189889517877027,20.90990449850387,24.185790224771054,2036410
2000-03-07,21.17230224609375,21.96769958406983,20.909903704747745,21.729899928463343,1624120
2000-03-08,22.307998657226562,22.86969566914708,21.48390308686197,21.7299013443986,2004770
2000-03-09,22.107099533081055,22.95989643719149,20.581907476143275,22.15219957989712,1339790
2000-03-10,20.840206146240234,21.565901475590408,20.34000791641085,21.422402752615803,1468330
2000-03-13,22.135799407958984,22.508897638323027,20.49990620465896,20.49990620465896,2079820
2000-03-14,21.76270294189453,22.959896810573984,20.991905968185698,22.590897843367934,1782020
2000-03-15,21.30760383605957,22.139899559764714,20.253908741392273,22.139899559764714,827860
2000-03-16,21.069805145263672,21.48390416179261,20.914005406885142,21.48390416179261,1324640
2000-03-17,21.069805145263672,21.069805145263672,21.069805145263672,21.069805145263672,0
2000-03-20,21.069805145263672,21.069805145263672,21.069805145263672,21.069805145263672,0
2000-03-21,20.975507736206055,21.31990628490763,20.229311141355808,21.31990628490763,1601110
2000-03-22,21.414199829101562,21.72989854278271,20.832003298118188,21.2994008655879,761300
2000-03-23,22.992692947387695,23.1279914997346,21.176401338115028,21.176401338115028,2538440
2000-03-24,22.418697357177734,22.775395284137076,21.688901203072277,22.55809678072786,1171540
2000-03-27,22.279298782348633,22.795895745761765,21.832400751356364,22.54989748966385,611310
2000-03-28,22.558095932006836,22.83689476861762,21.97999866633244,22.016898558355,983640
2000-03-29,21.76270294189453,23.611793943292106,21.57000330746261,22.63189859751241,984800
2000-03-30,21.529001235961914,21.81190094818225,20.581906551450377,21.032903871311227,953680
2000-03-31,21.090301513671875,21.319901010679743,20.66390468211243,20.74590305016938,743600
2000-04-03,20.266202926635742,22.385892009688607,19.69220505396952,21.315798455732864,1685880
