Price,Date,Close,High,Low,Open,Volume
Ticker,,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
0,2002-02-01,18.731908798217773,18.831901895281955,18.63608294108846,18.831901895281955,136680
1,2002-02-04,18.761077880859375,18.99022845533114,18.665251999415165,18.831906673697034,402320
2,2002-02-05,18.556922912597656,18.91106201982412,18.331939635628757,18.665247311136554,2196750
3,2002-02-06,18.765243530273438,19.07771982604663,18.511095888750717,18.544425867178145,1709750
4,2002-02-07,18.886070251464844,19.33186969089156,18.698584134571178,18.756912795529914,667290
5,2002-02-08,18.752742767333984,18.998557508652812,18.331942069145775,18.977726074168825,1624880
6,2002-02-11,19.06105613708496,19.165214913790344,18.836072797960504,18.91106724433532,300730
7,2002-02-12,19.24020767211914,19.49852097067098,19.131881663820952,19.223541887867626,416370
8,2002-02-13,19.156875610351562,19.331863123114605,18.919393806080215,19.2901986727728,312740
9,2002-02-14,19.027719497680664,19.33186444326866,18.919395098067145,19.040219628304964,540110
10,2002-02-15,19.461023330688477,19.748502540143285,19.0818854885022,19.165212818624415,1977900
11,2002-02-18,20.702594757080078,21.24005434509604,19.915154778484695,20.390118474187524,2988460
12,2002-02-19,19.598508834838867,20.815082151122496,19.581843055053444,20.706757761189717,982780
13,2002-02-20,19.690166473388672,20.415111964920282,19.456851925250437,19.581842088801086,451990
14,2002-02-21,19.71933937072754,20.206801658156067,19.581849029553304,20.069311316981832,339290
15,2002-02-22,20.573436737060547,20.698426919144946,19.831825356598504,19.835992596625275,1196420
16,2002-02-25,20.210966110229492,21.248388111449557,20.002648579725086,21.248388111449557,891320
17,2002-02-26,19.681840896606445,20.481779447416926,19.506853345281264,20.09847595582106,1076780
18,2002-02-27,19.74017333984375,20.077646785412142,19.423529744030557,19.66517888764257,897960
19,2002-02-28,19.46518898010254,20.406783442301833,19.081883928609166,19.923486874305148,1707600
20,2002-03-01,19.70683479309082,19.915152288978327,19.248536937872853,19.33186425409513,585190
